show,club,latitude,longitude
Steve Gunn,The Bowery Ballroom,40.7204065,-73.9933583
Lil Tecca  - Pi’erre Bourne,Brooklyn Steel,40.7193578,-73.9387835
CARIBBEAN SATURDAYS #REGGAE #SOCA #KOMPA #AFROBEATS #MARKIE2FRESH,MILK RIVER,40.6805195,-73.9623939
Church 0n Sundays,Rosewood theater,40.7142,-74.0064
9:15pm Kelly Quigley @ Pete's Candy Store,Pete's Candy Store,40.718099,-73.950193
TRENDS & FRIENDS PRIVATEPARTY SUNDAYS,291 Hooper St,40.7072999,-73.9540525
Gymboree Play and Music - Yoga and The Kids in Park Slope,Gymboree Play and Music,40.6723514,-73.986732
Luke Markham Quartet Jazz Brunch (acoustic),Branded Saloon,40.6792487,-73.967978
TUESDAY NIGHT LIVE AT CHLOE'S,Chloe's,40.6376389,-73.8973897
Gerry Eastman Quintet,Williamsburg Music Center,40.7112399,-73.9630180
Airplane Mode: Free Comedy Show in Park Slope,Cherry Tree,40.6821252,-73.9794539
Disney's DCappella,Kings Theatre,40.6460037,-73.9573817
dyed soundorom,Resolute Night,40.7142,-74.0064
Free Live Reggae Mondays,Velvet Brooklyn,40.7099556,-73.9627167
The Baby Soda Jazz Band,St. Mazie Bar and Supper Club,40.7166926,-73.9897291
Allah Las (16+ Event),Brooklyn Steel,40.7193578,-73.9387835
NYU Local Presents,Trans Pecos,40.6970507,-73.9061873
Church 0n Sundays,Rosewood theater,40.7142,-74.0064
French Games and Music (SATURDAY/WINTER),The Language and Laughter Studio,40.6843606,-73.9836913
School of Rock,Winter Garden Theatre - New York,40.7142,-74.0064
MATT BLACK Live at The Paper Box,The Paper Box,40.7108104,-73.9365705
"yes&yay Pres: The Den - Pedro Goya, Christina Crossin, Resy",Macao Trading Company,40.719629,-74.003939
Madeon  - Instupendo,Brooklyn Steel,40.7193578,-73.9387835
#1 NYC Boat Party - around Manhattan - Yacht Cruise,Pier 15,40.7050356,-74.0037533
NYC #1 Dance Music Boat Party - Yacht Cruise Summer Concert Series,Pier 15,40.7050356,-74.0037533
El # 1 Oficial de la serie de conciertos LATINA Fiesta en NY,Pier 15 - Hornblower Cruises & Events,40.7050356,-74.0037533
Roy Ayers (16+ Event),Elsewhere,40.7093375,-73.9232313
100 Gecs w/ Special Guests Tickets (16+ Event),Zone One at Elsewhere,40.7093375,-73.9232313
“Batterie” featuring Kate Gentile w/ Jon Irabagon + Matt Mitchell,The Sultan Room at The Turk's Inn,40.7055861,-73.9223421
Chamber Music Recital,Morse Recital Hall,40.773978,-73.9832753
Djo,Music Hall of Williamsburg,40.7191281,-73.9617399
