show,club,latitude,longitude
Perfect Crime,The Theater Center,40.76144,-73.984513
The Coronas,Mercury Lounge,40.7221676,-73.9867459
"Dylan LeBlanc, Night Moves",The Bowery Ballroom,40.7204065,-73.9933583
Jake Huffman of McLovins,Mercury Lounge,40.7221676,-73.9867459
"Cannibal Corpse, Thy Art Is Murder, Perdition Temple",Warsaw,40.7224421,-73.9485191
Howie Day,Iridium Jazz Club,40.7618157,-73.9833893
Billy Corgan,The Gramercy Theatre (The Blender Theatre),40.7397259,-73.9850291
Metal Night,Dingbatz NJ,40.8579247,-74.1475534
"Gatecreeper, Exhumed, Necrot and Judiciary",Brooklyn Bazaar,40.7299355,-73.9546495
SKEGSS,The Bowery Ballroom,40.7204065,-73.9933583
Conan Gray  - UMI,Terminal 5,40.7697101,-73.9927147
The Machine,Tarrytown Music Hall,41.0764989,-73.8588243
JPH (North Carolina) | Claire Michelle (Seattle) | Mya Bryne | Lara Americo,Branded Saloon,40.6792487,-73.967978
The Independents,Jerry Orbach Theater at The Theater Center,40.7142,-74.0064
Wyland with SCR,Baby's All Right,40.7099831,-73.9634721
"The Last Waltz Tour - Warren Haynes, Jamey Johnson, Lukas Nelson (18+ Event)",The Capitol Theatre,41.0014747,-73.6654399
Broken Past & Special Guests,Dingbatz NJ,40.8579247,-74.1475534
Someday Radio,Forgarty's,40.939262,-73.834515
"Joe McGinty & The Loser’s Lounge Present: “The Soul Of Tom Waits,” Starring Carlton Jumel Smith",Iridium Jazz Club,40.7618157,-73.9833893
"Alyxx, Desmo.",Dingbatz NJ,40.8579247,-74.1475534
Kim Petras - The Clarity Tour (Sunday),Avant Gardner,40.7106363,-73.9261791
"Ac/DC Tribute ""Shoot To Thrill"" & Motley Crue Tribute ""Sixx Seconds To",Dingbatz NJ,40.8579247,-74.1475534
"Black Tusk, Child Bite, Somnuri",Saint Vitus Bar,40.7367758,-73.9551337
"Chris Cohen  - Lina Tullgren, Lightning Bug (solo)",Rough Trade NYC,40.7207973,-73.9599521
The Doobie Brothers,St. George Theatre,40.642029,-74.077451
Dreamers (16+ Event),The Gramercy Theatre (The Blender Theatre),40.7397259,-73.9850291
Dead and Company Parking,"NYCB LIVE, Home of the Nassau Veterans Memorial Coliseum",40.7228732,-73.5905741
Taking Back Sunday,Terminal 5,40.7697101,-73.9927147
Cowboy Junkies,Landmark on Main,40.8308409,-73.6962652
"Lez Zeppelin with Strings ‘Achilles’ EP Launch, Interview & Performance",The Cutting Room,40.7459751,-73.9829183
The Hu,The Bowery Ballroom,40.7204065,-73.9933583
The Fab Faux: The Beatles Movie Music,State Theatre New Jersey,40.493145,-74.444459
Leningrad,Hulu Theater At Madison Square Garden,40.7505045,-73.9934387
Last Dinosaurs,Webster Hall,40.7317767,-73.9891566
Sylvan Esso,Beacon Theatre,40.7805136,-73.9810847
