_ - resultsPage - page,_ - resultsPage - status,_ - resultsPage - perPage,_ - resultsPage - totalEntries,_ - resultsPage - results - event - _ - id,_ - resultsPage - results - event - _ - uri,_ - resultsPage - results - event - _ - type,_ - resultsPage - results - event - _ - status,_ - resultsPage - results - event - _ - popularity,_ - resultsPage - results - event - _ - displayName,_ - resultsPage - results - event - _ - ageRestriction,_ - resultsPage - results - event - _ - flaggedAsEnded,_ - resultsPage - results - event - _ - performance - _ - id,_ - resultsPage - results - event - _ - performance - _ - billing,_ - resultsPage - results - event - _ - performance - _ - displayName,_ - resultsPage - results - event - _ - performance - _ - billingIndex,_ - resultsPage - results - event - _ - performance - _ - artist - id,_ - resultsPage - results - event - _ - performance - _ - artist - uri,_ - resultsPage - results - event - _ - performance - _ - artist - displayName,_ - resultsPage - results - event - _ - performance - _ - artist - identifier - _ - mbid,_ - resultsPage - results - event - _ - performance - _ - artist - identifier - _ - href,_ - resultsPage - results - event - _ - start - date,_ - resultsPage - results - event - _ - start - time,_ - resultsPage - results - event - _ - start - datetime,_ - resultsPage - results - event - _ - venue - id,_ - resultsPage - results - event - _ - venue - uri,_ - resultsPage - results - event - _ - venue - lat,_ - resultsPage - results - event - _ - venue - lng,_ - resultsPage - results - event - _ - venue - displayName,_ - resultsPage - results - event - _ - venue - metroArea - id,_ - resultsPage - results - event - _ - venue - metroArea - uri,_ - resultsPage - results - event - _ - venue - metroArea - displayName,_ - resultsPage - results - event - _ - venue - metroArea - state - displayName,_ - resultsPage - results - event - _ - venue - metroArea - country - displayName,_ - resultsPage - results - event - _ - location - lat,_ - resultsPage - results - event - _ - location - lng,_ - resultsPage - results - event - _ - location - city
1,ok,50,3924,39192129,http://www.songkick.com/concerts/39192129-js-ondara-at-tribeca-360?utm_source=59227&utm_medium=partner,Concert,ok,6.23E-4,"J.S. Ondara at Tribeca 360 (October 17, 2019)",,false,74193619,headline,J.S. Ondara,1,9243014,http://www.songkick.com/artists/9243014-js-ondara?utm_source=59227&utm_medium=partner,J.S. Ondara,46b8e29c-0ea5-45a9-a068-4313097c86ff,http://api.songkick.com/api/3.0/artists/mbid:46b8e29c-0ea5-45a9-a068-4313097c86ff.json,2019-10-17,20:00:00,2019-10-17T20:00:00-0400,4333835,http://www.songkick.com/venues/4333835-tribeca-360?utm_source=59227&utm_medium=partner,40.72179,-74.00945,Tribeca 360,7644,http://www.songkick.com/metro_areas/7644-us-new-york?utm_source=59227&utm_medium=partner,New York,NY,US,40.72179,-74.00945,"New York, NY, US"
,,,,37387934,http://www.songkick.com/concerts/37387934-taking-back-sunday-at-terminal-5?utm_source=59227&utm_medium=partner,Concert,ok,0.098028,"Taking Back Sunday at Terminal 5 (November 15, 2019)",,false,71060539,headline,Taking Back Sunday,1,117092,http://www.songkick.com/artists/117092-taking-back-sunday?utm_source=59227&utm_medium=partner,Taking Back Sunday,350bce49-c21b-4137-b50a-0766ded07e4d,http://api.songkick.com/api/3.0/artists/mbid:350bce49-c21b-4137-b50a-0766ded07e4d.json,2019-11-15,19:00:00,2019-11-15T19:00:00-0500,3199,http://www.songkick.com/venues/3199-terminal-5?utm_source=59227&utm_medium=partner,40.77066,-73.99427,Terminal 5,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.77066,-73.99427,"New York (NYC), NY, US"
,,,,38107934,http://www.songkick.com/concerts/38107934-joe-bonamassa-at-beacon-theatre?utm_source=59227&utm_medium=partner,Concert,ok,0.041552,"Joe Bonamassa at Beacon Theatre (November 15, 2019)",,false,72331094,headline,Joe Bonamassa,1,414198,http://www.songkick.com/artists/414198-joe-bonamassa?utm_source=59227&utm_medium=partner,Joe Bonamassa,984f8239-8fe1-4683-9c54-10ffb14439e9,http://api.songkick.com/api/3.0/artists/mbid:984f8239-8fe1-4683-9c54-10ffb14439e9.json,2019-11-15,20:00:00,2019-11-15T20:00:00-0500,1025,http://www.songkick.com/venues/1025-beacon-theatre?utm_source=59227&utm_medium=partner,40.77604,-73.98204,Beacon Theatre,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.77604,-73.98204,"New York (NYC), NY, US"
,,,,38262984,http://www.songkick.com/concerts/38262984-billy-joel-at-madison-square-garden?utm_source=59227&utm_medium=partner,Concert,ok,0.260722,"Billy Joel at Madison Square Garden (November 15, 2019)",,false,72605939,headline,Billy Joel,1,296988,http://www.songkick.com/artists/296988-billy-joel?utm_source=59227&utm_medium=partner,Billy Joel,64b94289-9474-4d43-8c93-918ccc1920d1,http://api.songkick.com/api/3.0/artists/mbid:64b94289-9474-4d43-8c93-918ccc1920d1.json,2019-11-15,20:00:00,2019-11-15T20:00:00-0500,477,http://www.songkick.com/venues/477-madison-square-garden?utm_source=59227&utm_medium=partner,40.74971,-73.99156,Madison Square Garden,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.74971,-73.99156,"New York (NYC), NY, US"
,,,,38334859,http://www.songkick.com/concerts/38334859-ron-with-leeds-at-digitally-imported-radio-epic-trance-channel?utm_source=59227&utm_medium=partner,Concert,ok,2.0E-6,"Ron with Leeds at Digitally Imported Radio - Epic Trance Channel (November 15, 2019)",,false,72726719,headline,Ron with Leeds,1,9992314,http://www.songkick.com/artists/9992314-ron-with-leeds?utm_source=59227&utm_medium=partner,Ron with Leeds,,,2019-11-15,,,4278989,http://www.songkick.com/venues/4278989-digitally-imported-radio-epic-trance-channel?utm_source=59227&utm_medium=partner,,,Digitally Imported Radio - Epic Trance Channel,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.7128,-74.006,"New York (NYC), NY, US"
,,,,38379064,http://www.songkick.com/concerts/38379064-blue-october-at-webster-hall?utm_source=59227&utm_medium=partner,Concert,ok,0.055722,"Blue October with Longwave at Webster Hall (November 15, 2019)",,false,72802789,headline,Blue October,1,500273,http://www.songkick.com/artists/500273-blue-october?utm_source=59227&utm_medium=partner,Blue October,96fafb0a-2f1d-4b15-b2a0-9e0e660e7ecf,http://api.songkick.com/api/3.0/artists/mbid:96fafb0a-2f1d-4b15-b2a0-9e0e660e7ecf.json,2019-11-15,19:00:00,2019-11-15T19:00:00-0500,924,http://www.songkick.com/venues/924-webster-hall?utm_source=59227&utm_medium=partner,40.73177,-73.98911,Webster Hall,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.73177,-73.98911,"New York (NYC), NY, US"
,,,,,,,,,,,,,,,,,,,d6a3eeec-cde0-4c10-89b2-93e0bd5f34e6,http://api.songkick.com/api/3.0/artists/mbid:d6a3eeec-cde0-4c10-89b2-93e0bd5f34e6.json,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73574099,support,Longwave,2,142709,http://www.songkick.com/artists/142709-longwave?utm_source=59227&utm_medium=partner,Longwave,b476264b-dcdc-4cbf-bd40-9eddaf5a6942,http://api.songkick.com/api/3.0/artists/mbid:b476264b-dcdc-4cbf-bd40-9eddaf5a6942.json,,,,,,,,,,,,,,,,
,,,,38381004,http://www.songkick.com/concerts/38381004-last-dinosaurs-at-music-hall-of-williamsburg?utm_source=59227&utm_medium=partner,Concert,ok,0.024365,"Last Dinosaurs and Born Ruffians at Music Hall of Williamsburg (November 15, 2019)",,false,72805869,headline,Last Dinosaurs,1,1815039,http://www.songkick.com/artists/1815039-last-dinosaurs?utm_source=59227&utm_medium=partner,Last Dinosaurs,546b225b-162d-4b81-b649-032616736db7,http://api.songkick.com/api/3.0/artists/mbid:546b225b-162d-4b81-b649-032616736db7.json,2019-11-15,19:00:00,2019-11-15T19:00:00-0500,16246,http://www.songkick.com/venues/16246-music-hall-of-williamsburg?utm_source=59227&utm_medium=partner,40.71928,-73.96171,Music Hall of Williamsburg,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.71928,-73.96171,"Brooklyn, NY, US"
,,,,,,,,,,,,74250895,headline,Born Ruffians,2,22233,http://www.songkick.com/artists/22233-born-ruffians?utm_source=59227&utm_medium=partner,Born Ruffians,87e58b4e-465c-4d8b-bfee-9c49ca8b7358,http://api.songkick.com/api/3.0/artists/mbid:87e58b4e-465c-4d8b-bfee-9c49ca8b7358.json,,,,,,,,,,,,,,,,
,,,,38397054,http://www.songkick.com/concerts/38397054-hilltop-hoods-at-brooklyn-bowl?utm_source=59227&utm_medium=partner,Concert,ok,0.035791,"Hilltop Hoods and Adrian Eagle at Brooklyn Bowl (November 15, 2019)",,false,72833904,headline,Hilltop Hoods,1,501001,http://www.songkick.com/artists/501001-hilltop-hoods?utm_source=59227&utm_medium=partner,Hilltop Hoods,16e1fb95-6d1c-45a3-aad8-d3bcd7e06aac,http://api.songkick.com/api/3.0/artists/mbid:16e1fb95-6d1c-45a3-aad8-d3bcd7e06aac.json,2019-11-15,23:59:00,2019-11-15T23:59:00-0500,493846,http://www.songkick.com/venues/493846-brooklyn-bowl?utm_source=59227&utm_medium=partner,40.72188,-73.95739,Brooklyn Bowl,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.72188,-73.95739,"Brooklyn, NY, US"
,,,,,,,,,,,,72833909,headline,Adrian Eagle,2,9343859,http://www.songkick.com/artists/9343859-adrian-eagle?utm_source=59227&utm_medium=partner,Adrian Eagle,25e90797-f2e7-4991-b61b-25d98961b913,http://api.songkick.com/api/3.0/artists/mbid:25e90797-f2e7-4991-b61b-25d98961b913.json,,,,,,,,,,,,,,,,
,,,,38447429,http://www.songkick.com/concerts/38447429-tom-rush-at-rubin-museum-of-art?utm_source=59227&utm_medium=partner,Concert,ok,0.002171,"Tom Rush at Rubin Museum Of Art (November 15, 2019)",,false,72919019,headline,Tom Rush,1,544338,http://www.songkick.com/artists/544338-tom-rush?utm_source=59227&utm_medium=partner,Tom Rush,7a64f2ab-0605-466b-92ce-ddeb7bef5d42,http://api.songkick.com/api/3.0/artists/mbid:7a64f2ab-0605-466b-92ce-ddeb7bef5d42.json,2019-11-15,18:00:00,2019-11-15T18:00:00-0500,72308,http://www.songkick.com/venues/72308-rubin-museum-of-art?utm_source=59227&utm_medium=partner,40.74002,-73.9978,Rubin Museum Of Art,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.74002,-73.9978,"New York (NYC), NY, US"
