Event Title ,Billing ,Songkick Artist URI,Artist,Latitude ,Longitude ,Number 1 Streamed Track ,Number of Listeners,Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taking Back Sunday at Terminal 5 (November 15, 2019)",headline,http://www.songkick.com/artists/117092-taking-back-sunday?utm_source=59227&utm_medium=partner,Taking Back Sunday,40.77066,-73.99427,You're So Last Summer,"335,310",Terminal 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Bonamassa at Beacon Theatre (November 15, 2019)",headline,http://www.songkick.com/artists/414198-joe-bonamassa?utm_source=59227&utm_medium=partner,Joe Bonamassa,40.77604,-73.98204,Sloe Gin,"65,035",Beacon Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billy Joel at Madison Square Garden (November 15, 2019)",headline,http://www.songkick.com/artists/296988-billy-joel?utm_source=59227&utm_medium=partner,Billy Joel,40.74971,-73.99156,Piano Man,"645,971",Madison Square Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ron with Leeds at Digitally Imported Radio - Epic Trance Channel (November 15, 2019)",headline,http://www.songkick.com/artists/9992314-ron-with-leeds?utm_source=59227&utm_medium=partner,Ron with Leeds,40.74971,-73.99156,Altitude (Purple Stories Remix),374,Digitally Imported Radio - Epic Trance Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue October with Longwave at Webster Hall (November 15, 2019)",headline,http://www.songkick.com/artists/500273-blue-october?utm_source=59227&utm_medium=partner,Blue October,40.73177,-73.98911,Hate Me,"194,447",Webster Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue October with Longwave at Webster Hall (November 15, 2019)",support,http://www.songkick.com/artists/142709-longwave?utm_source=59227&utm_medium=partner,Longwave,40.73177,-73.98911,Tidal Wave,"23,543",Webster Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Dinosaurs and Born Ruffians at Music Hall of Williamsburg (November 15, 2019)",headline,http://www.songkick.com/artists/1815039-last-dinosaurs?utm_source=59227&utm_medium=partner,Last Dinosaurs,40.71928,-73.96171,Zoom,"53,878",Music Hall of Williamsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Dinosaurs and Born Ruffians at Music Hall of Williamsburg (November 15, 2019)",headline,http://www.songkick.com/artists/22233-born-ruffians?utm_source=59227&utm_medium=partner,Born Ruffians,40.71928,-73.96171,Hummingbird,"132,596",Music Hall of Williamsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hilltop Hoods and Adrian Eagle at Brooklyn Bowl (November 15, 2019)",headline,http://www.songkick.com/artists/501001-hilltop-hoods?utm_source=59227&utm_medium=partner,Hilltop Hoods,40.72188,-73.95739,The Nosebleed Section,"83,483",Brooklyn Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hilltop Hoods and Adrian Eagle at Brooklyn Bowl (November 15, 2019)",headline,http://www.songkick.com/artists/9343859-adrian-eagle?utm_source=59227&utm_medium=partner,Adrian Eagle,40.72188,-73.95739,A.O.K,"1,434",Brooklyn Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
